"Maximum Impacts based on Sentinel-1, Sentinel-2, and Landsat-8 detections of flood extents from Jul XX  - Oct 14 2020        ",,,,,
DISTRICT,REGION,Total Flooded Area (sq km),Population Exposed in Settlements (*may underestimate highly urban zones),Cropland Inundated (hectares),Total Road Length Flooded (m)
La Dade Kotopon,GREATER ACCRA,0.59,7906,5,7841
Sagnerigu,NORTHERN,0.58,684,39,2520
Kwaebibirem,EASTERN,0.57,664,2,912
Akatsi North,VOLTA,0.56,0,30,10
Ketu North,VOLTA,0.55,6,38,60
Birim South,EASTERN,0.54,737,4,1677
Ajumako / Enyan / Esiam,CENTRAL,0.51,672,2,820
Accra Metropolis,GREATER ACCRA,0.5,3724,3,3399
Bodi,WESTERN NORTH,0.47,207,9,360
Sefwi Akontombra,WESTERN NORTH,0.47,85,1,40
Akyem Mansa,EASTERN,0.46,300,4,160
East Akim,EASTERN,0.4,1071,5,2640
Assin South,CENTRAL,0.39,226,2,510
Adansi North,ASHANTI,0.37,412,3,1000
Sefwi Bibiani / Anhwiaso Bekwai,WESTERN NORTH,0.37,7,10,159
Wenchi,BONO,0.37,0,32,0
Tema Metropolis,GREATER ACCRA,0.36,30,2,10
Asante Akim South,ASHANTI,0.34,120,2,210
Sefwi-Wiawso,WESTERN NORTH,0.34,418,10,560
Ahafo Ano South,ASHANTI,0.33,200,8,1580
Twifo Lower Denkyira,CENTRAL,0.31,52,1,160
Kwahu West,EASTERN,0.3,230,1,960
Asante Akim Central Municipal,ASHANTI,0.28,120,6,260
Ga West,GREATER ACCRA,0.27,307,14,1481
Agona East,CENTRAL,0.25,193,6,620
Tain,BONO,0.25,8,13,30
Bosome Freho,ASHANTI,0.24,27,3,200
Asikuma / Odoben / Brakwa,CENTRAL,0.22,504,1,470
Sunyani West,BONO,0.21,28,12,90
Hohoe Municipal,VOLTA,0.2,56,6,80
Asunafo North,AHAFO,0.19,458,5,700
Atwima Kwanwoma,ASHANTI,0.18,18,4,350
Akwapem North,EASTERN,0.16,66,1,270
Dormaa Municipal,BONO,0.16,176,6,180
Ga Central Municipal,GREATER ACCRA,0.14,24,1,270
Kadjebi,OTI,0.14,0,0,0
Awutu Senya East Municipal,CENTRAL,0.13,147,3,530
Ayensuano,EASTERN,0.13,80,4,407
Techiman Municipal,BONO EAST,0.13,48,9,140
Afigya Kwabre,ASHANTI,0.12,0,2,130
Asunafo South,AHAFO,0.12,216,2,230
Ga East,GREATER ACCRA,0.12,144,2,2029
Tano South,AHAFO,0.12,0,5,0
Asutifi South,AHAFO,0.11,174,3,350
Jasikan,OTI,0.11,20,3,0
Abura / Asebu / Kwamankese,CENTRAL,0.1,176,0,120
Kma,ASHANTI,0.1,600,4,820
Suhum Municipal,EASTERN,0.1,0,1,173
Jaman North,BONO,0.09,0,3,20
Nsawam Adoagyiri,EASTERN,0.09,192,6,320
Sekyere East,ASHANTI,0.09,224,0,1260
Sekyere Kumawu,ASHANTI,0.09,12,4,140
Upper West Akim,EASTERN,0.09,255,1,90
Adenta,GREATER ACCRA,0.08,114,2,707
La Nkwantanang Madina,GREATER ACCRA,0.08,188,3,570
Offinso Municipal,ASHANTI,0.08,0,3,20
Berekum,BONO,0.07,10,3,60
Sunyani Municipal,BONO,0.07,125,2,390
Tano North,AHAFO,0.07,35,4,50
Kwabre,ASHANTI,0.06,66,1,760
Bia West,WESTERN NORTH,0.05,0,0,80
Ledzokuku / Krowor,GREATER ACCRA,0.05,0,0,10
New Juaben Municipal,EASTERN,0.05,132,1,240
Akwapem South,EASTERN,0.04,0,2,90
Dormaa West,BONO,0.04,0,1,0
Bia East,WESTERN NORTH,0.03,0,1,0
Dormaa East,BONO,0.03,0,2,40
Sekyere South,ASHANTI,0.03,140,1,400
Techiman North,BONO EAST,0.03,30,1,90
Ahafo Ano North,ASHANTI,0.02,0,1,0
Ashaiman,GREATER ACCRA,0.01,0,1,10
Jaman South,BONO,0.01,0,0,0
Asokore Mampong Municipal,ASHANTI,0,0,0,0
