Region,Perc Flooded
Kwahu West,0.0025076866045923374
Nandom,0.0025031535793125195
Kasena Nankana West,0.002457148991495402
Denkyembour,0.0024016773619670883
Builsa South,0.002325957034404781
Nanumba North,0.002297207616519475
Shai Osu Doku,0.00227309301577084
Central Tongu,0.0022222222222222222
Talensi,0.002143205065757428
Asunafo South,0.0020557527766938547
Nsawam Adoagyiri,0.0020311656986892633
Accra Metropolis,0.00202801094820948
Ketu South,0.0020208274213382176
Tatale,0.001966377374522061
Agona East,0.0019316998959083994
Prestea / Huni Valley,0.0019204963744475496
Wa Municipal,0.0019045575256847018
Ahafo Ano South,0.0018887881535207011
Assin South,0.0018415906127770534
Afadzato South,0.0018322958503406925
Bongo,0.0018271056496972737
Twifo Lower Denkyira,0.0018038644326499463
Nabdam,0.0017991004497751124
Awutu Senya West,0.001794773180960753
Lambussie Karni,0.001736197232005556
Ningo Prampram,0.0017313768774618015
Banda,0.0016002381749841837
Gomoa East,0.0015954540487378428
South Dayi,0.0015607264472190692
Bawku Municipal,0.0015513045501701587
Asante Akim Central Municipal,0.001513221775261346
Nadowli / Kaleo,0.0014863047632528842
Adenta,0.00147389651694981
Builsa North,0.0014261031730795602
La Nkwantanang Madina,0.0013884683274126483
Kwahu South,0.0013492241960872497
Wassa Amenfi West,0.0013156452143405328
Abura / Asebu / Kwamankese,0.001296252651425878
Agotime Ziope,0.0012932308601832693
Upper Manya,0.001286419089893835
Dormaa Municipal,0.0012827894840416615
Daffiama Bussie,0.0012716803843300717
Sawla / Tuna / Kalba,0.0012506904853721325
Sunyani Municipal,0.0012395751727967792
Kwabre,0.0011790978115230014
Biakoye,0.0011014286177070847
Mion,0.0011002962336013541
Sissala  West,0.0010875081563111724
Awutu Senya East Municipal,0.00108223514687477
Sekyere South,0.001035311517840636
Atebubu Amantin,0.0010196994103477324
Twifo Ati-Morkwa,0.0010152510794015598
Ga West,0.0009524104982316808
Asante Akim South,0.0009510977252912737
Sekyere Afram Plains North,0.0009339975093399751
Sekyere Central,0.0009288689569091885
Kintampo North,0.0009030704394942806
Sefwi Akontombra,0.0008905465860634698
Ga East,0.0008825800757547898
Ejisu Juaben,0.0008707646009808292
Pru,0.0008649251909461863
Ayensuano,0.0008463190411205264
Tolon,0.0008460714084268712
Fanteakwa,0.0008310548579311721
Atwima Nwabiagya,0.0008289517313249018
Kwahu East,0.0008278018794168596
Lawra,0.0007380187272252033
North Dayi,0.0007209083445140878
New Juaben Municipal,0.000666286412300051
West Gonja,0.000662022478672344
Jasikan,0.0005807706826959375
Techiman North,0.0005460999362883408
Wassa Amenfi Central,0.0005382050860380631
Bole,0.0005182497964018657
Kpando Municipal,0.0004795226086029908
Bosome Freho,0.0004665065570088291
Jirapa,0.00044793310865577407
Akwapem North,0.0003904840226954047
Tano North,0.00038664634011621485
Offinso North,0.0003579268874677866
Sissala East,0.0003378290584964008
Tamale North Sub Metro,0.00033239897799717215
Ho West,0.0003133962658360083
Wa West,0.00030108390204737056
Techiman Municipal,0.00029939559514230646
Upper Denkyira East,0.00029710004521087645
Ejura Sekye Dumase,0.0002927993873735895
Sunyani West,0.00026599534508146106
Adaklu,0.0002657050673752135
Atwima Mponua,0.0002591568762957844
Hohoe Municipal,0.0002523659305993691
Kma,0.0002520016279305164
Asante Akim North,0.00023327015599941683
Mampong Municipal,0.0002294279596206791
Bekwai Municipal,0.0002213768474771778
Sekyere Kumawu,0.00020635930594486767
Lower Manya,0.00019727027260285794
Asutifi North,0.00019688915140775743
Kintampo South,0.00017362833614445878
Ga Central Municipal,0.0001618919775779611
Atwima Kwanwoma,0.0001602663983688442
Akatsi South,0.00015131899725944484
Tema Metropolis,0.00010697437250615995
Tain,9.032709700001129e-05
Berekum,6.415232327638745e-05
Nkoranza South,6.370354191693058e-05
Ketu North,5.7255732730239615e-05
Sefwi Bibiani / Anhwiaso Bekwai,5.4894641498780555e-05
Bosomtwe / Atwima / Kwanwoma,5.4667711427373945e-05
Ho Municipal,4.569985168320863e-05
Suhum Municipal,0.0
Akwapem South,0.0
Yilo Krobo,0.0
Bia West,0.0
Nkoranza North,0.0
Ledzokuku / Krowor,0.0
Ashaiman,0.0
Asokore Mampong Municipal,0.0
Afigya Kwabre,0.0
Wenchi,0.0
Ahafo Ano North,0.0
Offinso Municipal,0.0
Akatsi North,0.0
Tano South,0.0
Dormaa East,0.0
Jaman North,0.0
Jaman South,0.0
Dormaa West,0.0
Kadjebi,0.0
Bia East,0.0
