|,|__District,|__Total_Population,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value,|__Total_Cropland_km2,|__Total_RoadLength_m,|__Total_Area_km2,|__Total_Hospitals,|__Total_Markets,|__Total_Schools
,Tamale North Sub Metro,201565,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,67,,,,,,
,Kwabre,55975,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,66,,,,,,
,Akwapem North,169021,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,66,,,,,,
,Sekyere Central,68901,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,64,,,,,,
,Hohoe Municipal,221900,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,56,,,,,,
,Kwahu East,65233,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,54,,,,,,
,Twifo Lower Denkyira,28827,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,52,,,,,,
,Techiman Municipal,160323,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,48,,,,,,
,Nabdam,26680,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,48,,,,,,
,Lawra,65039,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,48,,,,,,
,Sissala  West,41379,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,45,,,,,,
,West Gonja,66463,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,44,,,,,,
,Banda,26871,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,43,,,,,,
,Bole,81042,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,42,,,,,,
,Jirapa,93764,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,42,,,,,,
,Bekwai Municipal,171653,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,38,,,,,,
,North Dayi,49937,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,36,,,,,,
,Sekyere Afram Plains North,38544,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,36,,,,,,
,Atwima Mponua,138912,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,36,,,,,,
,Wassa Amenfi Central,66889,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,36,,,,,,
,Daffiama Bussie,28309,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,36,,,,,,
,Tano North,90522,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,35,,,,,,
,Agotime Ziope,27064,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,35,,,,,,
,Ho West,105298,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,33,,,,,,
,Tolon,35458,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,30,,,,,,
,Techiman North,54935,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,30,,,,,,
,Tema Metropolis,280441,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,30,,,,,,
,Sunyani West,105265,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,28,,,,,,
,Kpando Municipal,56306,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,27,,,,,,
,Bosome Freho,57877,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,27,,,,,,
,Ejura Sekye Dumase,88798,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,26,,,,,,
,Sissala East,76962,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,26,,,,,,
,Ga Central Municipal,148247,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,24,,,,,,
,Upper Denkyira East,77415,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,23,,,,,,
,Mampong Municipal,91532,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,21,,,,,,
,Wa West,69748,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,21,,,,,,
,Jasikan,34437,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,20,,,,,,
,Atwima Kwanwoma,112313,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,18,,,,,,
,Akatsi South,118954,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,18,,,,,,
,Lower Manya,81107,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,16,,,,,,
,Asante Akim North,68590,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,16,,,,,,
,Offinso North,41908,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,15,,,,,,
,Kintampo South,80632,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,14,,,,,,
,Asutifi North,60948,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,12,,,,,,
,Sekyere Kumawu,58151,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,12,,,,,,
,Ho Municipal,240701,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,11,,,,,,
,Berekum,155879,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,10,,,,,,
,Tain,88567,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,8,,,,,,
,Adaklu,26345,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,7,,,,,,
,Nkoranza South,109884,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,7,,,,,,
,Sefwi Bibiani / Anhwiaso Bekwai,127517,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,7,,,,,,
,Ketu North,104793,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6,,,,,,
,Bosomtwe / Atwima / Kwanwoma,109754,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6,,,,,,
,Kadjebi,59567,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Dormaa West,43046,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Jaman South,86359,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Jaman North,94150,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Dormaa East,64839,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Wenchi,80682,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Tano South,69837,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Akatsi North,26695,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Offinso Municipal,71115,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Ahafo Ano North,115019,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Asokore Mampong Municipal,229248,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Afigya Kwabre,220551,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Akwapem South,26086,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Yilo Krobo,85938,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Suhum Municipal,78198,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Nkoranza North,72282,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Ledzokuku / Krowor,329640,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Ashaiman,94969,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Bia West,72770,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
,Bia East,57568,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,,,
Cropland_Impacts,West Mamprusi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,195.69,2470.94,,,,,
,Karaga,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,162.39,2569.04,,,,,
,Saboba,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,145.45,1474.82,,,,,
,Mamprugu Moagduri,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,124.71,2044.83,,,,,
,Savelugu Nanton,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,123.43,2093.29,,,,,
,Kumbumgu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,91.2,1569.97,,,,,
,Chereponi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,68.57,1046.65,,,,,
,East Gonja,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,49.0,7398.14,,,,,
,Tolon,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,42.53,1189.5,,,,,
,Gonja Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,33.46,7251.67,,,,,
,North Gonja,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,30.02,4852.9,,,,,
,Bawku West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,25.31,995.97,,,,,
,Garu Tempane,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,24.99,1043.4,,,,,
,Mamprusi East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,24.58,1899.01,,,,,
,Talensi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,24.19,711.41,,,,,
,Kasena Nankana East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,23.39,758.83,,,,,
,Binduri,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,22.55,331.99,,,,,
,Builsa South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,20.28,1185.83,,,,,
,Gushiegu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,19.77,2997.21,,,,,
,Yendi Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,17.32,1475.89,,,,,
,Pru,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,14.49,2965.32,,,,,
,Bunkpurugu Yonyo,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,13.12,1138.25,,,,,
,Nanumba North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,12.68,2242.29,,,,,
,Kwahu Afram Plains North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,12.42,2540.44,,,,,
,Mion,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,10.18,2620.22,,,,,
,West Gonja,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,9.62,4911.56,,,,,
,Kwahu Afram Plains South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,9.43,3211.5,,,,,
,Sissala East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,8.72,4886.03,,,,,
,Tamale North Sub Metro,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,8.4,476.28,,,,,
,Sissala  West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,7.81,1659.95,,,,,
,Zabzugu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,7.03,620.21,,,,,
,Nanumba South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.69,1622.08,,,,,
,Krachi East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.23,2008.77,,,,,
,Tatale,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,5.59,142.72,,,,,
,Atebubu Amantin,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,5.48,2774.01,,,,,
