Region,02Year,05Year,10Year,15Year,20Year
Nsawam Adoagyiri,0,0,0,0,0
Nzema East,0,8,8,16,24
Obuasi Municipal,0,0,15,30,60
Offinso Municipal,0,0,0,0,0
Offinso North,0,0,0,0,0
Prestea / Huni Valley,0,0,14,28,42
Pru,0,0,34,34,47
Pusiga,0,0,0,0,0
Saboba,0,0,0,0,16
Sagnerigu,0,0,0,0,6
Savelugu Nanton,0,0,11,44,58
Sawla / Tuna / Kalba,0,0,0,0,0
Sefwi Akontombra,0,0,0,0,0
Sefwi Bibiani / Anhwiaso Bekwai,0,0,18,32,48
Sefwi-Wiawso,0,0,0,0,0
Sekondi Takoradi,0,0,0,0,0
Sekyere Afram Plains North,0,0,0,0,0
Sekyere Central,0,0,0,0,0
Sekyere East,0,0,0,0,0
Sekyere Kumawu,0,0,0,0,0
Sekyere South,0,0,0,0,0
Sene East,0,168,254,284,374
Sene West,0,40,40,40,40
Shai Osu Doku,0,0,7,7,18
Shama,0,27,54,54,162
Sissala  West,0,0,0,0,0
Sissala East,0,0,0,0,0
South Dayi,0,28,63,70,98
South Tongu,0,16,24,42,64
Suaman,0,0,0,0,0
Suhum Municipal,0,0,0,0,0
Sunyani Municipal,0,0,0,0,0
Sunyani West,0,0,0,0,0
Tain,0,0,0,0,0
Talensi,0,0,0,0,0
Tamale North Sub Metro,0,0,6,12,12
Tano North,0,0,0,0,0
Tano South,0,0,0,0,0
Tarkwa Nsuaem,0,0,0,0,8
Tatale,0,0,0,0,0
Techiman Municipal,0,0,0,0,0
Techiman North,0,0,0,0,0
Tema Metropolis,0,0,15,15,45
Tolon,0,0,0,0,0
Twifo Ati-Morkwa,0,13,39,39,52
Twifo Lower Denkyira,0,0,0,0,0
Upper Denkyira East,0,0,0,0,0
Upper Denkyira West,0,0,27,48,66
Upper Manya,0,19,19,19,19
Upper West Akim,0,0,0,0,0
Wa East,0,0,0,17,17
Wa Municipal,0,0,0,0,0
Wa West,0,0,7,14,21
Wassa Amenfi Central,0,0,4,19,31
Wassa Amenfi East,0,0,1,7,25
Wassa Amenfi West,0,0,0,10,10
Wassa East,0,18,18,18,18
Wenchi,0,0,0,0,0
West Akim,0,0,0,0,0
West Gonja,0,0,0,0,0
West Mamprusi,10,20,40,77,87
Yendi Municipal,0,0,26,26,26
Yilo Krobo,0,0,0,0,0
Zabzugu,0,0,0,0,0
