Region,Avg Impact Per Year - Pop,Avg Impact Per Year - Crops,Avg Impact Per Year - Roads,Avg Impact Per Year - Flooded Area,Avg Impact Per Year - Markets,Avg Impact Per Year - Hospitals,Avg Impact Per Year - Schools
Obuasi Municipal,4.0,0.026333333333333337,0.0,0.14850000000000002,0.0,0.0,0.0
Upper Manya,3.8,0.2781666666666667,4.5,80.40616666666666,0.0,0.0,0.0
Ahanta West,3.7,0.011666666666666669,65.16666666666666,0.5736666666666668,0.0,0.0,0.0
Kwahu South,3.6,0.213,26.5,46.25566666666666,0.0,0.0,0.0
Wassa East,3.6,0.060833333333333336,0.0,1.2778333333333334,0.0,0.0,0.0
Atiwa,3.6,0.04766666666666666,81.83333333333334,0.1745,0.0,0.0,0.0
Sefwi Bibiani / Anhwiaso Bekwai,3.533333333333333,0.02,73.83333333333334,0.17216666666666666,0.0,0.0,0.0
Builsa North,3.066666666666667,0.12199999999999997,18.5,2.1265,0.0,0.0,0.5
Prestea / Huni Valley,3.033333333333333,0.033666666666666664,29.833333333333336,0.5485,0.0,0.0,0.0
Tema Metropolis,3.0,0.0015,40.5,0.2358333333333333,0.0,0.0,0.0
North Gonja,2.9333333333333336,1.0725,70.36666666666667,6.296833333333333,0.0,0.0,0.0
Nkwanta North,2.7,0.4773333333333333,87.1,17.858833333333333,0.0,0.0,0.0
Yendi Municipal,2.6,0.4115,101.85,2.0316666666666667,0.0,0.0,0.0
Nzema East,2.533333333333333,0.02,36.36666666666667,0.5673333333333334,0.0,0.0,0.0
Mamprugu Moagduri,2.5,3.902833333333333,28.2,6.3421666666666665,0.0,0.0,0.0
Aowin,2.3,0.0021666666666666666,4.933333333333334,0.2418333333333333,0.0,0.0,0.0
Nanumba North,2.25,1.6135000000000002,425.0,8.439166666666667,0.0,0.0,0.0
Gomoa West,2.05,0.005,46.0,0.8070000000000002,0.0,0.0,0.0
Fanteakwa,2.0,0.3841666666666667,5.5,42.410166666666655,0.0,0.0,0.0
Wassa Amenfi Central,2.0,0.02116666666666667,32.1,0.36733333333333335,0.0,0.0,0.0
North Tongu,1.9,0.08533333333333334,103.66666666666669,8.170499999999999,0.0,0.0,0.0
Bosomtwe / Atwima / Kwanwoma,1.7999999999999998,0.0006666666666666666,6.1000000000000005,23.217333333333336,0.0,0.0,0.0
Kasena Nankana East,1.7333333333333334,0.7378333333333333,109.66666666666666,3.242,0.0,0.0,0.0
Ningo Prampram,1.6,0.028833333333333336,103.83333333333331,2.3,0.0,0.0,0.0
Wa West,1.5166666666666666,0.13416666666666666,131.83333333333331,2.698833333333334,0.0,0.0,0.0
Wassa Amenfi East,1.4,0.02866666666666667,24.566666666666666,0.3478333333333333,0.0,0.0,0.0
Biakoye,1.3,0.25566666666666665,0.0,163.05599999999995,0.0,0.0,0.0
Shai Osu Doku,1.25,0.12616666666666668,29.5,3.533,0.0,0.0,0.0
Wa East,1.1333333333333333,0.1165,9.5,0.6,0.0,0.0,0.0
Kumbumgu,1.1,4.662166666666667,596.2333333333332,19.029166666666672,0.0,0.0,0.0
Bole,1.0499999999999998,1.0226666666666666,456.33333333333326,31.613166666666668,0.0,0.0,0.0
Tamale North Sub Metro,1.0,0.2806666666666667,55.0,0.5286666666666666,0.0,0.0,0.5
Adansi South,1.0,0.009333333333333334,25.33333333333333,0.1815,0.0,0.0,0.0
Ellembelle,1.0,0.004,5.966666666666668,0.127,0.0,0.0,0.0
Ejisu Juaben,0.95,0.001,0.0,0.005333333333333333,0.0,0.0,0.0
Saboba,0.8,2.861666666666667,483.83333333333326,4.719333333333333,0.0,0.0,0.0
Banda,0.8,0.34600000000000003,353.5,33.754000000000005,0.0,0.0,0.0
Agona East,0.8,0.0016666666666666663,0.0,0.014666666666666668,0.0,0.0,0.0
Asante Akim Central Municipal,0.6833333333333333,0.0016666666666666663,0.5,0.0165,0.0,0.0,0.0
Wassa Amenfi West,0.6666666666666666,0.012,2.0,0.19116666666666665,0.0,0.0,0.0
Birim North,0.65,0.006999999999999999,192.33333333333331,0.16116666666666668,0.0,0.0,0.0
Ga Central Municipal,0.6,0.0,0.0,0.6418333333333333,0.0,0.0,0.0
Kpone Katamanso,0.5,0.03233333333333333,163.93333333333334,0.6581666666666667,0.0,0.0,0.0
Gomoa East,0.5,0.0021666666666666666,3.833333333333333,0.0965,0.0,0.0,0.0
Binduri,0.4666666666666667,0.3443333333333333,35.166666666666664,1.8186666666666669,0.0,0.0,0.0
Garu Tempane,0.45,0.36783333333333335,6.5,0.7440000000000001,0.0,0.0,0.0
Akatsi South,0.45,0.048,1.0,1.2678333333333336,0.0,0.0,0.0
Kwaebibirem,0.45,0.0026666666666666666,2.0,0.018000000000000002,0.0,0.0,0.0
Builsa South,0.4,1.0798333333333334,1.0,1.4393333333333334,0.0,0.0,0.0
Nadowli / Kaleo,0.4,0.2335,166.73333333333338,1.2613333333333332,0.0,0.0,0.0
Jirapa,0.4,0.2283333333333333,76.76666666666667,0.8298333333333333,0.0,0.0,0.0
Tarkwa Nsuaem,0.4,0.03933333333333334,51.83333333333334,0.4708333333333333,0.0,0.0,0.0
Adenta,0.4,0.011666666666666669,78.06666666666666,0.07683333333333334,0.0,0.0,0.0
La Nkwantanang Madina,0.4,0.0006666666666666666,0.0,0.0031666666666666666,0.0,0.0,0.0
Lower Manya,0.3833333333333333,0.0105,138.33333333333334,9.834666666666667,0.0,0.0,0.0
Sagnerigu,0.3,0.0051666666666666675,0.0,0.013999999999999999,0.0,0.0,0.0
Daffiama Bussie,0.2,0.006,104.0,0.14733333333333334,0.0,0.0,0.0
Karaga,0.0,2.8098333333333336,166.66666666666669,4.0343333333333335,0.0,0.0,0.0
Tolon,0.0,1.7766666666666666,118.0,5.412000000000001,0.0,0.0,0.0
Chereponi,0.0,1.5941666666666667,1125.1333333333332,2.6108333333333333,0.0,0.0,0.0
Nanumba South,0.0,0.5686666666666667,47.46666666666666,7.903833333333332,0.0,0.0,0.0
Mion,0.0,0.4828333333333333,283.2,1.0756666666666668,0.0,0.0,0.0
Lawra,0.0,0.4671666666666667,224.4333333333333,1.4863333333333335,0.0,0.0,0.0
Bawku West,0.0,0.3230000000000001,7.5,1.5036666666666667,0.0,0.0,0.0
Talensi,0.0,0.2921666666666667,23.8,0.8311666666666666,0.0,0.0,0.0
Asante Akim North,0.0,0.22416666666666665,0.0,3.6475,0.0,0.0,0.0
Bongo,0.0,0.18016666666666667,237.33333333333331,2.370166666666667,0.0,0.0,0.0
Kasena Nankana West,0.0,0.1635,3.0,4.4,0.0,0.0,0.0
Sissala East,0.0,0.15,6.333333333333334,0.4008333333333333,0.0,0.0,0.0
Bunkpurugu Yonyo,0.0,0.1495,8.333333333333334,0.3995,0.0,0.0,0.0
Ketu North,0.0,0.12566666666666668,16.5,1.5641666666666665,0.0,0.0,0.0
Nandom,0.0,0.10083333333333334,152.33333333333334,1.0201666666666669,0.0,0.0,0.0
Zabzugu,0.0,0.08766666666666667,32.766666666666666,1.8146666666666669,0.0,0.0,0.0
Mamprusi East,0.0,0.08083333333333334,6.166666666666666,1.0775,0.0,0.0,0.0
Bolgatanga Municipal,0.0,0.073,18.2,0.17149999999999996,0.0,0.0,0.0
West Gonja,0.0,0.07283333333333332,37.8,1.2984999999999998,0.0,0.0,0.0
Tatale,0.0,0.05616666666666666,0.0,0.5206666666666667,0.0,0.0,0.0
Bawku Municipal,0.0,0.046500000000000014,0.0,0.182,0.0,0.0,0.0
North Dayi,0.0,0.04383333333333333,0.0,103.97616666666666,0.0,0.0,0.0
Effutu,0.0,0.04166666666666666,45.83333333333334,0.5453333333333333,0.0,0.0,0.0
Sawla / Tuna / Kalba,0.0,0.04133333333333333,76.66666666666667,1.4178333333333335,0.0,0.0,0.0
Gushiegu,0.0,0.04016666666666666,0.0,0.08416666666666668,0.0,0.0,0.0
Lambussie Karni,0.0,0.034833333333333334,0.5,0.2298333333333333,0.0,0.0,0.0
Sissala  West,0.0,0.027666666666666662,0.0,0.43683333333333335,0.0,0.0,0.0
Afadzato South,0.0,0.02633333333333333,0.0,6.25,0.0,0.0,0.0
Kpando Municipal,0.0,0.02266666666666666,34.666666666666664,42.802833333333346,0.0,0.0,0.0
Atebubu Amantin,0.0,0.021,0.0,0.095,0.0,0.0,0.0
Pusiga,0.0,0.01683333333333334,0.0,0.09966666666666668,0.0,0.0,0.0
Kintampo South,0.0,0.01666666666666667,0.0,0.03966666666666667,0.0,0.0,0.0
Kwahu East,0.0,0.0165,0.0,0.0235,0.0,0.0,0.0
Wa Municipal,0.0,0.01133333333333333,12.333333333333336,0.15883333333333335,0.0,0.0,0.0
Denkyembour,0.0,0.010833333333333332,2.0,0.054000000000000006,0.0,0.0,0.0
Awutu Senya West,0.0,0.0105,1.8333333333333333,0.07166666666666666,0.0,0.0,0.0
Asutifi North,0.0,0.009166666666666668,77.16666666666667,0.35200000000000004,0.0,0.0,0.0
Assin North,0.0,0.008833333333333334,3.0,0.4925,0.0,0.0,0.0
Yilo Krobo,0.0,0.008666666666666666,0.0,0.06516666666666666,0.0,0.0,0.0
Awutu Senya East Municipal,0.0,0.007666666666666667,0.5,0.029666666666666664,0.0,0.0,0.0
Adaklu,0.0,0.0061666666666666675,0.0,0.03383333333333333,0.0,0.0,0.0
Ga West,0.0,0.005666666666666667,2.5,0.0145,0.0,0.0,0.0
Akatsi North,0.0,0.005666666666666667,25.83333333333333,0.027500000000000004,0.0,0.0,0.0
Nabdam,0.0,0.0041666666666666675,0.0,0.0535,0.0,0.0,0.0
Atwima Nwabiagya,0.0,0.0035,0.0,0.7498333333333332,0.0,0.0,0.0
Atwima Kwanwoma,0.0,0.0033333333333333327,0.0,0.022166666666666668,0.0,0.0,0.0
Ejura Sekye Dumase,0.0,0.003,0.0,0.004666666666666665,0.0,0.0,0.0
West Akim,0.0,0.0026666666666666666,0.0,0.13216666666666668,0.0,0.0,0.0
Bekwai Municipal,0.0,0.0025,0.0,0.008333333333333331,0.0,0.0,0.0
Nsawam Adoagyiri,0.0,0.0021666666666666666,0.0,0.0036666666666666657,0.0,0.0,0.0
Upper Denkyira East,0.0,0.0021666666666666666,29.16666666666667,0.12466666666666665,0.0,0.0,0.0
Bosome Freho,0.0,0.0016666666666666663,8.9,0.008,0.0,0.0,0.0
Kwahu West,0.0,0.0015,0.0,0.04983333333333333,0.0,0.0,0.0
Ahafo Ano South,0.0,0.0015,0.6666666666666666,0.006999999999999999,0.0,0.0,0.0
Sekyere Central,0.0,0.0015,2.0,0.0045,0.0,0.0,0.0
Birim Municipal,0.0,0.0011666666666666663,0.0,0.05616666666666667,0.0,0.0,0.0
Akwapem South,0.0,0.0011666666666666663,0.0,0.0045000000000000005,0.0,0.0,0.0
East Akim,0.0,0.001,0.0,0.010666666666666666,0.0,0.0,0.0
Ahafo Ano North,0.0,0.001,0.0,0.003,0.0,0.0,0.0
Ajumako / Enyan / Esiam,0.0,0.001,16.5,0.06666666666666668,0.0,0.0,0.0
Suhum Municipal,0.0,0.0005,0.0,0.0006666666666666666,0.0,0.0,0.0
Ho Municipal,0.0,0.0005,0.0,0.0031666666666666666,0.0,0.0,0.0
Tain,0.0,0.0005,0.0,0.013000000000000001,0.0,0.0,0.0
Nkoranza North,0.0,0.0005,0.0,0.0005,0.0,0.0,0.0
New Juaben Municipal,0.0,0.0005,0.0,0.0005,0.0,0.0,0.0
Asante Akim South,0.0,0.0005,0.0,0.0028333333333333327,0.0,0.0,0.0
Agotime Ziope,0.0,0.0005,0.0,0.006999999999999999,0.0,0.0,0.0
Afigya Kwabre,0.0,0.0005,0.0,0.03033333333333333,0.0,0.0,0.0
Wenchi,0.0,0.0005,0.0,0.0031666666666666666,0.0,0.0,0.0
Ayensuano,0.0,0.0005,0.0,0.001,0.0,0.0,0.0
Asutifi South,0.0,0.0005,0.5,0.0015,0.0,0.0,0.0
Abura / Asebu / Kwamankese,0.0,0.0,0.0,0.02233333333333333,0.0,0.0,0.0
Juabeso,0.0,0.0,0.0,0.0005,0.0,0.0,0.0
Suaman,0.0,0.0,0.0,0.002,0.0,0.0,0.0
Jasikan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaman South,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaman North,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ho West,0.0,0.0,0.0,0.0041666666666666675,0.0,0.0,0.0
Sunyani Municipal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunyani West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadjebi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tano North,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dormaa West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nkoranza South,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dormaa East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tano South,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techiman North,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offinso Municipal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offinso North,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mpohor,0.0,0.0,0.0,0.006166666666666668,0.0,0.0,0.0
Mampong Municipal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ledzokuku / Krowor,0.0,0.0,0.0,0.015166666666666669,0.0,0.0,0.0
La Dade Kotopon,0.0,0.0,0.0,0.02616666666666666,0.0,0.0,0.0
Sefwi Akontombra,0.0,0.0,0.0,0.0011666666666666663,0.0,0.0,0.0
Sefwi-Wiawso,0.0,0.0,0.0,0.0015,0.0,0.0,0.0
Kwabre,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sekyere East,0.0,0.0,0.0,0.002,0.0,0.0,0.0
Sekyere Kumawu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sekyere South,0.0,0.0,0.0,0.0005,0.0,0.0,0.0
Kma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bodi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Birim South,0.0,0.0,0.0,0.0041666666666666675,0.0,0.0,0.0
Dormaa Municipal,0.0,0.0,0.0,0.002,0.0,0.0,0.0
Upper West Akim,0.0,0.0,0.0,0.0005,0.0,0.0,0.0
Asunafo South,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asunafo North,0.0,0.0,0.0,0.0005,0.0,0.0,0.0
Assin South,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asokore Mampong Municipal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asikuma / Odoben / Brakwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akyem Mansa,0.0,0.0,0.0,0.0011666666666666663,0.0,0.0,0.0
Akwapem North,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agona West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adansi North,0.0,0.0,0.0,0.002,0.0,0.0,0.0
Ashaiman,0.0,0.0,0.0,0.0026666666666666666,0.0,0.0,0.0
Berekum,0.0,0.0,0.0,0.0026666666666666666,0.0,0.0,0.0
Twifo Lower Denkyira,0.0,0.0,0.0,0.005166666666666668,0.0,0.0,0.0
Bia East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bia West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techiman Municipal,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hohoe Municipal,0.0,0.0,1.5,0.0006666666666666666,0.0,0.0,0.0
Sekyere Afram Plains North,0.0,0.0,4.5,0.004666666666666665,0.0,0.0,0.0
Sekondi Takoradi,0.0,0.0,21.5,0.01716666666666667,0.0,0.0,0.0
