Region,02Year,05Year,10Year,15Year,20Year
Tarkwa Nsuaem,0,0,0,0,0
Tatale,0,0,0,0,0
Techiman Municipal,0,0,0,0,0
Techiman North,0,0,0,0,0
Tema Metropolis,0,0,0,0,0
Tolon,0,0,0,0,0
Twifo Ati-Morkwa,0,0,0,0,0
Twifo Lower Denkyira,0,0,0,0,0
Upper Denkyira East,0,0,0,0,0
Upper Denkyira West,0,0,0,0,0
Upper Manya,0,0,0,0,0
Upper West Akim,0,0,0,0,0
Wa East,0,0,0,0,0
Wa Municipal,0,0,0,0,0
Wa West,0,0,0,0,0
Wassa Amenfi Central,0,0,0,0,0
Wassa Amenfi East,0,0,0,0,0
Wassa Amenfi West,0,0,0,0,0
Wassa East,0,0,0,0,0
Wenchi,0,0,0,0,0
West Akim,0,0,0,0,0
West Gonja,0,0,0,0,0
West Mamprusi,0,0,0,0,0
Yendi Municipal,0,0,0,0,0
Yilo Krobo,0,0,0,0,0
Zabzugu,0,0,0,0,0
