Region,Avg Impact Per Year - Roads
Kasena Nankana West,3.0
Assin North,3.0
Ekumfi,3.5
Gomoa East,3.833333333333333
Amansie Central,4.0
Upper Manya,4.5
Sekyere Afram Plains North,4.5
Aowin,4.933333333333334
Fanteakwa,5.5
Ellembelle,5.966666666666667
Bosomtwe / Atwima / Kwanwoma,6.1000000000000005
Mamprusi East,6.166666666666666
Sissala East,6.333333333333334
Garu Tempane,6.5
Bawku West,7.5
Bunkpurugu Yonyo,8.333333333333334
Bosome Freho,8.9
Wa East,9.5
Wa Municipal,12.333333333333334
Twifo Ati-Morkwa,15.5
Ketu North,16.5
Ajumako / Enyan / Esiam,16.5
Bolgatanga Municipal,18.2
Builsa North,18.5
Shama,20.0
Sekondi Takoradi,21.5
Talensi,23.8
Wassa Amenfi East,24.566666666666666
Adansi South,25.333333333333332
Akatsi North,25.833333333333332
Kwahu South,26.5
Cape Coast Metro,28.0
Mamprugu Moagduri,28.2
Mfantsiman,29.0
Upper Denkyira East,29.166666666666668
Shai Osu Doku,29.5
Prestea / Huni Valley,29.833333333333336
Wassa Amenfi Central,32.1
Central Tongu,32.5
Zabzugu,32.766666666666666
Amansie West,34.16666666666667
Kpando Municipal,34.666666666666664
Binduri,35.166666666666664
Nzema East,36.36666666666667
Accra Metropolis,36.86666666666667
West Gonja,37.8
Tema Metropolis,40.5
Effutu,45.833333333333336
Gomoa West,46.0
Nanumba South,47.46666666666666
Tarkwa Nsuaem,51.833333333333336
Tamale North Sub Metro,55.0
Pru,58.7
Ahanta West,65.16666666666666
North Gonja,70.36666666666667
Sefwi Bibiani / Anhwiaso Bekwai,73.83333333333334
Sawla / Tuna / Kalba,76.66666666666667
Jirapa,76.76666666666667
Asutifi North,77.16666666666667
Adenta,78.06666666666666
Atiwa,81.83333333333334
Nkwanta North,87.1
Komenda Edna Eguafo / Abirem,96.33333333333333
Yendi Municipal,101.85000000000001
North Tongu,103.66666666666667
Ningo Prampram,103.83333333333333
Daffiama Bussie,104.0
Kasena Nankana East,109.66666666666666
Tolon,118.0
South Tongu,118.5
Atwima Mponua,119.16666666666667
Wa West,131.83333333333331
Lower Manya,138.33333333333334
Gonja Central,148.16666666666669
Nandom,152.33333333333334
Kwahu Afram Plains South,153.5
Kpone Katamanso,163.93333333333334
Karaga,166.66666666666669
Nadowli / Kaleo,166.73333333333335
Jomoro,172.23333333333332
Birim North,192.33333333333334
Asuogyaman,193.0
Lawra,224.43333333333334
Krachi East,231.66666666666666
Bongo,237.33333333333334
Upper Denkyira West,265.0
Mion,283.2
Kintampo North,304.36666666666673
Banda,353.5
Kwahu Afram Plains North,368.6666666666667
Ada East,396.5
East Gonja,398.1
Krachi West,407.0
Nanumba North,425.0
Sene East,447.4
Bole,456.3333333333333
Saboba,483.8333333333333
Kumbumgu,596.2333333333333
Ada West,645.6666666666666
Savelugu Nanton,647.7833333333334
West Mamprusi,805.1833333333334
Chereponi,1125.1333333333332
Ga South,2035.0666666666668
Ketu South,2391.5
Kpandai,2980.866666666667
Keta Municipal,4728.666666666667
Krachi Nchumuru,8620.800000000001
