Region,Avg Impact Per Year - Flooded Area
Kasena Nankana East,3.242
Shai Osu Doku,3.533
Asante Akim North,3.6475000000000004
Karaga,4.0343333333333335
Kasena Nankana West,4.4
Saboba,4.719333333333333
South Tongu,5.158333333333333
Tolon,5.412
Afadzato South,6.25
North Gonja,6.296833333333333
Mamprugu Moagduri,6.3421666666666665
Nanumba South,7.903833333333333
North Tongu,8.170499999999999
Nanumba North,8.439166666666667
Ketu South,8.940999999999999
Kintampo North,9.772666666666666
Lower Manya,9.834666666666667
Savelugu Nanton,10.947833333333334
Ga South,12.120499999999998
West Mamprusi,13.546666666666665
Ada East,15.097666666666667
Nkwanta North,17.858833333333333
Nkwanta South,18.416500000000003
Kumbumgu,19.02916666666667
Ada West,19.209333333333333
Bosomtwe / Atwima / Kwanwoma,23.217333333333336
Bole,31.613166666666668
Banda,33.754000000000005
Fanteakwa,42.41016666666666
Kpando Municipal,42.80283333333334
Kwahu South,46.25566666666666
Keta Municipal,58.48466666666667
South Dayi,59.264333333333326
Gonja Central,66.30900000000001
Kpandai,67.74783333333333
Sene West,67.85133333333333
Upper Manya,80.40616666666666
Krachi Nchumuru,85.23166666666667
Pru,92.71266666666666
North Dayi,103.97616666666666
Asuogyaman,130.05550000000002
Biakoye,163.05599999999998
East Gonja,198.75233333333333
Kwahu Afram Plains South,228.361
Krachi West,266.27149999999995
Sene East,386.72183333333334
Krachi East,392.6415
Kwahu Afram Plains North,521.9575000000001
