Region,02Year,05Year,10Year,15Year,20Year
Jomoro,0,620,910,1026,1256
Juabeso,0,0,0,0,0
Kadjebi,0,0,0,0,0
Karaga,0,430,640,950,1730
Kasena Nankana East,0,90,290,900,1520
Kasena Nankana West,0,0,20,20,40
Keta Municipal,3180,10490,23670,26350,29950
Ketu North,0,50,110,110,120
Ketu South,2450,5550,7520,9770,13760
Kintampo North,510,580,736,836,1098
Kintampo South,0,0,0,0,0
Kma,0,0,0,0,0
Komenda Edna Eguafo / Abirem,20,300,520,600,660
Kpandai,930,10548,14738,15915,17811
Kpando Municipal,0,70,250,290,290
Kpone Katamanso,30,638,798,848,1008
Krachi East,0,450,1040,1620,2500
Krachi Nchumuru,4110,30514,39170,41873,46657
Krachi West,50,1210,2050,2320,3280
Kumbumgu,0,334,3425,4885,7345
Kwabre,0,0,0,0,0
Kwaebibirem,0,0,0,0,40
Kwahu Afram Plains North,0,550,2110,2930,3890
Kwahu Afram Plains South,0,320,820,1120,1510
Kwahu East,0,0,0,0,0
Kwahu South,0,90,120,150,220
Kwahu West,0,0,0,0,0
La Dade Kotopon,0,0,0,0,0
La Nkwantanang Madina,0,0,0,0,0
Lambussie Karni,0,0,0,0,10
Lawra,0,490,1261,1521,2161
Ledzokuku / Krowor,0,0,0,0,0
Lower Manya,160,410,450,500,520
Mampong Municipal,0,0,0,0,0
Mamprugu Moagduri,20,61,131,131,191
Mamprusi East,0,0,0,40,110
Mfantsiman,0,0,70,130,490
Mion,0,610,1492,2032,2772
Mpohor,0,0,0,0,0
Nabdam,0,0,0,0,0
Nadowli / Kaleo,0,437,777,1067,1587
Nandom,31,571,711,851,961
Nanumba North,0,1406,2264,2744,3264
Nanumba South,0,0,383,393,563
New Juaben Municipal,0,0,0,0,0
Ningo Prampram,110,250,280,420,590
Nkoranza North,0,0,0,0,0
Nkoranza South,0,0,0,0,0
Nkwanta North,60,280,411,411,411
Nkwanta South,0,0,0,0,50
North Dayi,0,0,0,0,0
North Gonja,0,0,128,561,1135
North Tongu,50,280,420,520,760
Nsawam Adoagyiri,0,0,0,0,0
Nzema East,0,30,147,307,467
Obuasi Municipal,0,0,0,0,0
Offinso Municipal,0,0,0,0,0
Offinso North,0,0,0,0,0
Prestea / Huni Valley,0,0,90,260,450
Pru,0,0,170,290,964
Pusiga,0,0,0,0,0
Saboba,0,380,2410,3990,5980
Sagnerigu,0,0,0,0,0
Savelugu Nanton,0,1116,3714,4754,6663
Sawla / Tuna / Kalba,75,225,245,285,375
Sefwi Akontombra,0,0,0,0,0
Sefwi Bibiani / Anhwiaso Bekwai,0,160,350,430,780
Sefwi-Wiawso,0,0,0,0,0
Sekondi Takoradi,0,20,110,110,280
Sekyere Afram Plains North,0,0,0,0,90
Sekyere Central,0,0,0,0,40
Sekyere East,0,0,0,0,0
Sekyere Kumawu,0,0,0,0,0
Sekyere South,0,0,0,0,0
Sene East,10,1097,1997,2597,4497
Sene West,0,0,0,0,16
Shai Osu Doku,0,0,100,160,470
Shama,0,30,150,180,180
Sissala  West,0,0,0,0,0
Sissala East,0,0,30,80,80
South Dayi,0,0,0,0,0
South Tongu,0,450,640,670,820
Suaman,0,0,0,0,0
Suhum Municipal,0,0,0,0,0
Sunyani Municipal,0,0,0,0,0
Sunyani West,0,0,0,0,0
Tain,0,0,0,0,0
Talensi,0,89,129,129,169
Tamale North Sub Metro,0,140,200,260,600
Tano North,0,0,0,0,0
Tano South,0,0,0,0,0
Tarkwa Nsuaem,0,0,140,370,820
Tatale,0,0,0,0,0
Techiman Municipal,0,0,0,0,20
Techiman North,0,0,0,0,0
Tema Metropolis,0,70,220,280,430
Tolon,10,190,192,789,1529
Twifo Ati-Morkwa,0,40,80,80,150
Twifo Lower Denkyira,0,0,0,0,0
Upper Denkyira East,0,30,110,180,390
Upper Denkyira West,0,140,1440,2340,3280
Upper Manya,0,0,0,0,90
Upper West Akim,0,0,0,0,0
Wa East,0,20,20,20,130
Wa Municipal,0,20,70,120,120
Wa West,60,190,590,760,1250
Wassa Amenfi Central,0,0,76,166,536
Wassa Amenfi East,0,0,64,194,384
Wassa Amenfi West,0,0,0,0,40
Wassa East,0,0,0,0,0
Wenchi,0,0,0,0,0
West Akim,0,0,0,0,0
West Gonja,0,0,180,270,546
West Mamprusi,40,139,1019,3739,13660
Yendi Municipal,9,241,541,631,930
Yilo Krobo,0,0,0,0,0
Zabzugu,11,99,129,169,249
