Region,Perc_Flooded
Gomoa West,0.0006246963281738044
Awutu Senya East Municipal,0.0006247396917950853
Bekwai Municipal,0.0006490496059341679
Wa West,0.0006506050627083187
Obuasi Municipal,0.000676730869338886
Ga South,0.0007027772716624587
Sene West,0.0007287173038074711
Ga West,0.0007287870900572619
Kwahu East,0.0008345039569395958
Kpando Municipal,0.0008345155637152634
Nkoranza North,0.0008450434282627824
North Dayi,0.0008576726935558646
Sene East,0.000899110123979996
Nadowli / Kaleo,0.0010908135103167302
Awutu Senya West,0.0011244377811094454
Ketu North,0.0011303804622661154
Ejisu Juaben,0.0011569244774873877
Akatsi North,0.001249375312343828
Sagnerigu,0.0013662637940094588
Nkoranza South,0.0014237639140564327
Lambussie Karni,0.0014627782243717303
Sekyere Central,0.0015258812942603387
Jirapa,0.0015813702866380069
Shama,0.0016632016632016633
Krachi West,0.0016646294390118372
Sissala East,0.0017846799958248314
Bodi,0.0018742190753852559
South Dayi,0.0019193857965451057
Adaklu,0.0019260801665799063
Nabdam,0.001957890297900539
West Gonja,0.001958644503986513
Atebubu Amantin,0.0019754795404486646
Kpone Katamanso,0.0020823210939126813
Upper Manya,0.0022275776721161988
Mampong Municipal,0.0022650731678240396
Biakoye,0.002276001753983003
Kpandai,0.002405076246034183
Krachi Nchumuru,0.0026745188915121053
Kasena Nankana West,0.002688349169115612
Atwima Nwabiagya,0.0029207601562796343
Fanteakwa,0.0029281382298815147
Kwahu Afram Plains South,0.002936322590689709
Akatsi South,0.0030193131930104635
Krachi East,0.003101400359423926
Shai Osu Doku,0.0032854019411635415
Kwahu South,0.0034518074574213862
Ketu South,0.003539823008849558
Ejura Sekye Dumase,0.003558267563817566
Asante Akim North,0.0036035352577476008
Ada East,0.0038638624742601975
Mion,0.0038851699475616554
Nanumba South,0.004124334188202802
North Tongu,0.004164584374479427
Ningo Prampram,0.0043337931752518285
Gonja Central,0.004614109577518006
Sissala  West,0.0047049609928009875
Pru,0.00488648779895593
Kwahu Afram Plains North,0.0048889168805403786
Bongo,0.005060393385342932
South Tongu,0.005285835562460957
Nkwanta South,0.005313362898502217
Builsa North,0.005540652930220572
Nkwanta North,0.005554585152838428
Nanumba North,0.005654933126402027
Central Tongu,0.005814419118707053
North Gonja,0.006185991881143234
Gushiegu,0.0065961344049966465
East Gonja,0.006623286393607042
Bolgatanga Municipal,0.008574641551869554
Ada West,0.00884978786537911
Afadzato South,0.010640517421239308
Pusiga,0.01075333594385373
Zabzugu,0.011334870447106625
Bunkpurugu Yonyo,0.011526466066329892
Yendi Municipal,0.011735291925550007
Mamprusi East,0.01294358639501635
Builsa South,0.017101945472791213
Tamale North Sub Metro,0.017636684303350973
Bawku Municipal,0.021770070107005428
Garu Tempane,0.02395054629097182
Bawku West,0.02541241202044238
Kasena Nankana East,0.03082376816941871
Talensi,0.03400289565791879
Tolon,0.03575451870533838
Tatale,0.039167600896860985
Kumbumgu,0.058090281979910445
Savelugu Nanton,0.05896459640088091
Mamprugu Moagduri,0.06098795498892328
Karaga,0.06321038208825086
Chereponi,0.0655137820665934
Binduri,0.06792373264254947
West Mamprusi,0.07919658105822075
Saboba,0.09862220474362973
Lawra,
Nandom,
Ho Municipal,
Agotime Ziope,
Suaman,
Ekumfi,
Effutu,
Hohoe Municipal,
Mfantsiman,
La Dade Kotopon,
Komenda Edna Eguafo / Abirem,
Jasikan,
Ga Central Municipal,
Ashaiman,
